1804523697;Anabel;Holguin;La Gasca;022458796;0984252623;5;25
1705482364;Bertha;Lopez;Carapungo;022458797;0984252624;5;30
1606441031;Carolina;Herrera;El Bosque;022458798;0984252625;5;40
1507399698;Daniel;Miranda;San Juan;022458799;0984252626;5;22
1408358365;Ernesto;Lima;El Trebol;022458800;0984252627;5;29
1309317032;Fausto;Guerra;Las Casas;022458801;0984252628;5;31
1210275699;Guillermo;Pallo;Guajalo;022458802;0984252629;5;30
1111234366;Hugo;Alban;El Eden;022458803;0984252630;5;34
1012193033;Ivan;Castillo;Ponciano;022458804;0984252631;5;36
0913151700;Juan;Mena;Carcelen;022458805;0984252632;5;42
0814110367;Karina;Alvarez;Av. America;022458806;0984252633;5;28
0715069034;Laura;Chango;Gonzales Suarez;022458807;0984252634;5;27
0616027701;Monica;Yungan;Pifo;022458808;0984252635;5;27
0516986368;Nelly;Hurtado;Conocoto;022458809;0984252636;5;20
0417945035;Olga;Travez;El Triangulo;022458810;0984252637;5;31
0318903702;Paulina;Montufar;Calderon;022458811;0984252638;5;29
0219862369;Rosa;Quinteros;Pifo;022458812;0984252639;5;32
0120821036;Saul;Bonilla;San Juan;022458813;0984252640;5;22
0521779703;Tomas;Ontaneda;El Eden;022458814;0984252641;5;33
1804523645;Vinicio;Jimenez;San Rafael;022458815;0984252642;5;40
